PID,trial,response,rt,accuracy,display,filename,target_size,colour,quadrant,num_distractors,answer,distractor_bin
66,15.0,2,742.8999999999942,1,Task,image_118.jpg,large,green,Quadrant 2,22.0,2.0,21–24
66,16.0,1,821.7999999046297,1,Task,image_108.jpg,large,red,Quadrant 1,14.0,1.0,13–16
66,17.0,2,592.5999999046326,1,Task,image_53.jpg,medium,red,Quadrant 2,5.0,2.0,5–8
66,18.0,1,1282.099999809259,1,Task,image_27.jpg,small,blue,Quadrant 1,26.0,1.0,25-28
66,19.0,1,1602.1000001907378,1,Task,image_29.jpg,small,green,Quadrant 1,32.0,1.0,29-32
66,20.0,4,1013.6999999046384,1,Task,image_2.jpg,small,green,Quadrant 4,2.0,4.0,1–4
66,21.0,4,1572.599999809259,1,Task,image_14.jpg,small,green,Quadrant 4,15.0,4.0,13–16
66,22.0,3,1025.299999809271,1,Task,image_95.jpg,medium,red,Quadrant 3,45.0,3.0,45-49
66,23.0,4,1073.1000000000058,1,Task,image_4.jpg,small,blue,Quadrant 4,6.0,4.0,5–8
66,24.0,1,1210.4000000953674,1,Task,image_3.jpg,small,red,Quadrant 1,3.0,1.0,1–4
66,25.0,2,693.3000001907349,1,Task,image_97.jpg,large,blue,Quadrant 2,4.0,2.0,1–4
66,26.0,1,911.6000000953644,1,Task,image_94.jpg,medium,green,Quadrant 1,47.0,1.0,45-49
66,27.0,4,1269.5000000953733,0,Task,image_26.jpg,small,green,Quadrant 2,28.0,2.0,25-28
66,28.0,2,1142.0,0,Task,image_42.jpg,small,green,Quadrant 1,42.0,1.0,41-44
66,29.0,1,819.999999809268,1,Task,image_55.jpg,medium,red,Quadrant 1,8.0,1.0,5–8
66,30.0,2,1673.700000190729,0,Task,image_30.jpg,small,red,Quadrant 3,30.0,3.0,29-32
66,31.0,3,807.6999999046384,1,Task,image_128.jpg,large,green,Quadrant 3,35.0,3.0,33-36
66,32.0,4,1296.3000000953616,1,Task,image_84.jpg,medium,green,Quadrant 4,40.0,4.0,37-40
66,33.0,4,890.3000001907349,1,Task,image_81.jpg,medium,blue,Quadrant 4,34.0,4.0,33-36
66,34.0,3,1155.3999999999942,1,Task,image_6.jpg,small,green,Quadrant 3,7.0,3.0,5–8
66,35.0,2,1293.4999999046267,0,Task,image_28.jpg,small,red,Quadrant 4,29.0,4.0,29-32
66,36.0,1,1278.9000000953674,1,Task,image_37.jpg,small,red,Quadrant 1,39.0,1.0,37-40
66,37.0,2,1303.7000000953558,0,Task,image_8.jpg,small,red,Quadrant 4,12.0,4.0,9–12
66,38.0,4,1297.6000001907232,0,Task,image_24.jpg,small,red,Quadrant 3,27.0,3.0,25-28
66,39.0,2,1000.1000000000058,1,Task,image_83.jpg,medium,green,Quadrant 2,33.0,2.0,33-36
66,40.0,2,1020.7999999999884,1,Task,image_5.jpg,small,green,Quadrant 2,5.0,2.0,5–8
66,41.0,1,751.9999998092535,1,Task,image_114.jpg,large,blue,Quadrant 1,18.0,1.0,17–20
66,42.0,1,786.700000190729,1,Task,image_77.jpg,medium,green,Quadrant 1,32.0,1.0,29-32
66,43.0,2,935.6999999046384,1,Task,image_49.jpg,medium,blue,Quadrant 2,4.0,2.0,1–4
66,44.0,1,1243.6999998092651,0,Task,image_33.jpg,small,green,Quadrant 4,34.0,4.0,33-36
66,45.0,2,735.0000000953733,1,Task,image_92.jpg,medium,red,Quadrant 2,49.0,2.0,45-49
66,46.0,3,866.7000000000116,1,Task,image_120.jpg,large,green,Quadrant 3,27.0,3.0,25-28
66,47.0,1,1227.5999999046326,1,Task,image_18.jpg,small,green,Quadrant 1,18.0,1.0,17–20
66,48.0,3,929.8000001907347,1,Task,image_87.jpg,medium,green,Quadrant 3,38.0,3.0,37-40
66,49.0,2,759.5000000953733,1,Task,image_74.jpg,medium,green,Quadrant 2,28.0,2.0,25-28
66,50.0,2,1023.8999999046208,1,Task,image_44.jpg,small,red,Quadrant 2,49.0,2.0,45-49
66,51.0,2,1115.8999998092768,0,Task,image_17.jpg,small,green,Quadrant 4,17.0,4.0,17–20
66,52.0,1,917.5999999999768,1,Task,image_60.jpg,medium,green,Quadrant 1,14.0,1.0,13–16
66,53.0,3,1363.7999999999884,0,Task,image_89.jpg,medium,red,Quadrant 4,43.0,4.0,41-44
66,54.0,1,988.1999998092653,1,Task,image_71.jpg,medium,blue,Quadrant 1,23.0,1.0,21–24
66,55.0,1,1327.9999999046267,1,Task,image_12.jpg,small,red,Quadrant 1,14.0,1.0,13–16
66,56.0,4,1297.5000000953733,1,Task,image_68.jpg,medium,red,Quadrant 4,21.0,4.0,21–24
66,57.0,4,794.4000000953674,1,Task,image_65.jpg,medium,red,Quadrant 4,17.0,4.0,17–20
66,58.0,2,643.5999998092593,1,Task,image_59.jpg,medium,blue,Quadrant 2,10.0,2.0,9–12
66,59.0,3,795.8999999046209,1,Task,image_143.jpg,large,green,Quadrant 3,45.0,3.0,45-49
66,60.0,2,964.2000000000116,1,Task,image_134.jpg,large,green,Quadrant 2,37.0,2.0,37-40
66,61.0,4,599.3000000000175,1,Task,image_104.jpg,large,green,Quadrant 4,12.0,4.0,9–12
66,62.0,4,1510.6000000000058,1,Task,image_25.jpg,small,blue,Quadrant 4,25.0,4.0,25-28
66,63.0,2,690.8999998092768,1,Task,image_111.jpg,large,green,Quadrant 2,16.0,2.0,13–16
66,64.0,2,623.1000001907232,1,Task,image_86.jpg,medium,blue,Quadrant 2,37.0,2.0,37-40
66,65.0,2,603.3999998092768,1,Task,image_101.jpg,large,green,Quadrant 2,5.0,2.0,5–8
66,66.0,4,738.0999999046326,1,Task,image_137.jpg,large,green,Quadrant 4,43.0,4.0,41-44
66,67.0,2,586.200000190729,1,Task,image_131.jpg,large,green,Quadrant 2,33.0,2.0,33-36
66,68.0,1,1372.4000000953674,1,Task,image_23.jpg,small,red,Quadrant 1,23.0,1.0,21–24
66,69.0,1,873.9000001907407,1,Task,image_51.jpg,medium,blue,Quadrant 1,3.0,1.0,1–4
66,70.0,2,794.6000001907232,1,Task,image_140.jpg,large,green,Quadrant 2,49.0,2.0,45-49
66,71.0,4,680.2999999999884,1,Task,image_121.jpg,large,blue,Quadrant 4,25.0,4.0,25-28
66,72.0,3,1285.700000190729,0,Task,image_36.jpg,small,green,Quadrant 4,40.0,4.0,37-40
66,73.0,2,1139.5999999046326,1,Task,image_22.jpg,small,green,Quadrant 2,22.0,2.0,21–24
66,74.0,3,788.0,1,Task,image_96.jpg,large,green,Quadrant 3,1.0,3.0,1–4
66,75.0,1,716.0999998092593,1,Task,image_123.jpg,large,green,Quadrant 1,26.0,1.0,25-28
66,76.0,3,885.2999999999884,1,Task,image_72.jpg,medium,red,Quadrant 3,27.0,3.0,25-28
66,77.0,3,709.6000000953791,1,Task,image_109.jpg,large,green,Quadrant 3,13.0,3.0,13–16
66,78.0,1,691.1000000953791,1,Task,image_133.jpg,large,blue,Quadrant 1,39.0,1.0,37-40
66,79.0,3,664.7000000000116,1,Task,image_48.jpg,medium,green,Quadrant 3,1.0,3.0,1–4
66,80.0,1,912.4000000953674,0,Task,image_69.jpg,medium,green,Quadrant 3,24.0,3.0,21–24
66,81.0,1,741.299999809271,1,Task,image_103.jpg,large,red,Quadrant 1,8.0,1.0,5–8
66,82.0,1,1138.5,1,Task,image_46.jpg,small,red,Quadrant 1,47.0,1.0,45-49
